localite	station	fuseau_horaire	date	heure	hauteur_m
Tadoussac	03425	HAE	13-09-2023	02:43	4.222
Tadoussac	03425	HAE	13-09-2023	09:03	0.782
Tadoussac	03425	HAE	13-09-2023	15:05	3.746
Tadoussac	03425	HAE	13-09-2023	20:59	0.813
Tadoussac	03425	HAE	14-09-2023	03:16	4.330
Tadoussac	03425	HAE	14-09-2023	09:31	0.656
Tadoussac	03425	HAE	14-09-2023	15:35	3.953
Tadoussac	03425	HAE	14-09-2023	21:33	0.632
Tadoussac	03425	HAE	15-09-2023	03:46	4.384
Tadoussac	03425	HAE	15-09-2023	09:57	0.566
Tadoussac	03425	HAE	15-09-2023	16:03	4.122
Tadoussac	03425	HAE	15-09-2023	22:05	0.502
Tadoussac	03425	HAE	16-09-2023	04:16	4.379
Tadoussac	03425	HAE	16-09-2023	10:24	0.520
Tadoussac	03425	HAE	16-09-2023	16:31	4.251
Tadoussac	03425	HAE	16-09-2023	22:37	0.435
Tadoussac	03425	HAE	17-09-2023	04:46	4.311
Tadoussac	03425	HAE	17-09-2023	10:50	0.524
Tadoussac	03425	HAE	17-09-2023	16:59	4.333
Tadoussac	03425	HAE	17-09-2023	23:10	0.441
Tadoussac	03425	HAE	18-09-2023	05:17	4.177
Tadoussac	03425	HAE	18-09-2023	11:17	0.583
Tadoussac	03425	HAE	18-09-2023	17:30	4.362
Tadoussac	03425	HAE	18-09-2023	23:44	0.522
Tadoussac	03425	HAE	19-09-2023	05:50	3.984
Tadoussac	03425	HAE	19-09-2023	11:46	0.696
Tadoussac	03425	HAE	19-09-2023	18:04	4.328
Tadoussac	03425	HAE	20-09-2023	00:20	0.676
